taxonomy	carK_1_DKDN250001546-1A_22KVLLLT4_L6_1	carK_2_DKDN250001547-1A_22Y2CMLT3_L2_1	carK_4_DKDN250001548-1A_22KVLLLT4_L6_1	carK_8_DKDN250001549-1A_22Y2CMLT3_L2_1	carK_9_DKDN250001550-1A_22KVLLLT4_L8_1	carR_10_DKDN250001554-1A_22VYGNLT3_L3_1	carR_10_DKDN250001554-1A_22W2JCLT3_L1_1	carR_1_DKDN250001551-1A_22VYGNLT3_L3_1	carR_1_DKDN250001551-1A_22W2JCLT3_L1_1	carR_5_DKDN250001552-1A_22KVLLLT4_L6_1	carR_9_DKDN250001553-1A_22KVLLLT4_L6_1	ces_1_DKDN250001560-1A_22VYGNLT3_L3_1	ces_3_DKDN250001561-1A_22KVLLLT4_L6_1	ces_5_DKDN250001562-1A_22KVLLLT4_L6_1	ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	ces_7_DKDN250001564-1A_22KVLLLT4_L8_1	hok_1_DKDN250001570-1A_22VYGNLT3_L3_1	hok_1_DKDN250001570-1A_22W2JCLT3_L5_1	hok_2_DKDN250001571-1A_22KVLLLT4_L8_1	hok_3_DKDN250001572-1A_22VYGNLT3_L3_1	hok_3_DKDN250001572-1A_22W2JCLT3_L1_1	hok_5_DKDN250001573-1A_22KVLLLT4_L8_1	hok_7_DKDN250001574-1A_22KVLLLT4_L8_1	mtz_1_DKDN250001565-1A_22KVLLLT4_L8_1	mtz_3_DKDN250001566-1A_22VYGNLT3_L3_1	mtz_4_DKDN250001567-1A_22KVLLLT4_L8_1	mtz_6_DKDN250001568-1A_22KVLLLT4_L8_1	mtz_7_DKDN250001569-1A_22KVLLLT4_L8_1	RH_1_DKDN250001555-1A_22KVLLLT4_L6_1	RH_2_DKDN250001556-1A_22VYGNLT3_L3_1	RH_2_DKDN250001556-1A_22W2JCLT3_L1_1	RH_3_DKDN250001557-1A_22KVLLLT4_L6_1	RH_5_DKDN250001558-1A_22KVLLLT4_L6_1	RH_8_DKDN250001559-1A_22KVLLLT4_L6_1
unassigned	8.49	6.12	6.53	4.66	6.7	4.73	5.64	4.15	3.64	7.17	8.63	5.69	2.96	6.76	10.14	4.94	4.95	5.15	1.27	7.46	6.43	5.15	1.94	20.98	15.22	14.92	10.39	11.69	7.53	5.53	6.01	5.53	4.68	5.9
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium	88.15	92.8	90.21	94.39	91.6	93.11	92.85	95.56	96.36	90.05	87.6	94.15	96.61	92.14	87.47	93.94	94.12	94.58	98.26	92.54	93.57	93.66	97.94	66.76	84.43	78.44	83.64	87.05	92.09	94.25	93.99	93.91	95.28	94.05
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Agrobacterium	0.08	0.0	0.19	0.08	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Neorhizobium	0.19	0.0	0.36	0.2	0.3	0.08	0.0	0.0	0.0	0.25	0.07	0.0	0.0	0.0	0.13	0.09	0.15	0.0	0.09	0.0	0.0	0.08	0.0	1.34	0.0	0.16	0.36	0.06	0.1	0.0	0.0	0.0	0.0	0.0
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__BOG-938	0.23	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.05	0.03	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.29	0.0	0.0	0.21	0.09	0.0	0.0	0.0	0.0	0.0	0.0
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Phenylobacterium	1.56	0.35	0.49	0.06	0.23	1.07	1.0	0.09	0.0	0.39	1.42	0.11	0.17	0.22	0.46	0.18	0.16	0.15	0.0	0.0	0.0	0.34	0.0	2.53	0.19	0.13	1.02	0.26	0.0	0.15	0.0	0.05	0.0	0.0
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Caulobacter	0.39	0.07	0.23	0.06	0.07	0.07	0.0	0.0	0.0	0.08	0.07	0.0	0.0	0.0	0.07	0.03	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.46	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas	0.12	0.08	0.12	0.0	0.15	0.0	0.0	0.0	0.0	0.09	0.08	0.0	0.05	0.05	0.15	0.03	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.23	0.0	0.27	0.1	0.08	0.06	0.0	0.0	0.05	0.0	0.0
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium	0.05	0.0	0.24	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.24	0.72	0.07	0.0	0.0	0.0	0.0	0.0	0.0
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium	0.21	0.17	0.36	0.08	0.14	0.09	0.19	0.0	0.0	0.15	0.15	0.06	0.11	0.17	0.43	0.25	0.16	0.0	0.07	0.0	0.0	0.24	0.0	0.98	0.0	0.14	0.55	0.06	0.07	0.07	0.0	0.05	0.0	0.0
