sample	coverage	taxonomy
RH_2_DKDN250001556-1A_22VYGNLT3_L3_1	3.81	Root; d__Bacteria
RH_2_DKDN250001556-1A_22VYGNLT3_L3_1	0.11	Root; d__Bacteria; p__Pseudomonadota
RH_2_DKDN250001556-1A_22VYGNLT3_L3_1	12.34	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
RH_2_DKDN250001556-1A_22VYGNLT3_L3_1	0.51	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
RH_2_DKDN250001556-1A_22VYGNLT3_L3_1	0.51	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia
RH_2_DKDN250001556-1A_22VYGNLT3_L3_1	0.51	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
RH_2_DKDN250001556-1A_22VYGNLT3_L3_1	1.59	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
RH_2_DKDN250001556-1A_22VYGNLT3_L3_1	0.06	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales
RH_2_DKDN250001556-1A_22VYGNLT3_L3_1	0.4	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
RH_2_DKDN250001556-1A_22VYGNLT3_L3_1	17.52	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae
RH_2_DKDN250001556-1A_22VYGNLT3_L3_1	0.8	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae
RH_2_DKDN250001556-1A_22VYGNLT3_L3_1	1.14	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae
RH_2_DKDN250001556-1A_22VYGNLT3_L3_1	1.58	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae
RH_2_DKDN250001556-1A_22VYGNLT3_L3_1	192.26	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium
RH_2_DKDN250001556-1A_22VYGNLT3_L3_1	0.51	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium
RH_2_DKDN250001556-1A_22VYGNLT3_L3_1	1.14	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Phenylobacterium
RH_2_DKDN250001556-1A_22VYGNLT3_L3_1	473.66	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium sp029051725
RH_2_DKDN250001556-1A_22VYGNLT3_L3_1	30.86	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium cosmicum_A
