sample	coverage	taxonomy
RH_2_DKDN250001556-1A_22W2JCLT3_L1_1	2.73	Root; d__Bacteria
RH_2_DKDN250001556-1A_22W2JCLT3_L1_1	0.23	Root; d__Bacteria; p__Pseudomonadota
RH_2_DKDN250001556-1A_22W2JCLT3_L1_1	0.06	Root; d__Bacteria; p__Actinomycetota
RH_2_DKDN250001556-1A_22W2JCLT3_L1_1	11.25	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
RH_2_DKDN250001556-1A_22W2JCLT3_L1_1	0.45	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
RH_2_DKDN250001556-1A_22W2JCLT3_L1_1	0.34	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
RH_2_DKDN250001556-1A_22W2JCLT3_L1_1	0.34	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
RH_2_DKDN250001556-1A_22W2JCLT3_L1_1	6.31	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
RH_2_DKDN250001556-1A_22W2JCLT3_L1_1	0.17	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
RH_2_DKDN250001556-1A_22W2JCLT3_L1_1	14.67	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae
RH_2_DKDN250001556-1A_22W2JCLT3_L1_1	1.14	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae
RH_2_DKDN250001556-1A_22W2JCLT3_L1_1	1.82	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae
RH_2_DKDN250001556-1A_22W2JCLT3_L1_1	0.68	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae
RH_2_DKDN250001556-1A_22W2JCLT3_L1_1	161.94	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium
RH_2_DKDN250001556-1A_22W2JCLT3_L1_1	435.63	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium sp029051725
RH_2_DKDN250001556-1A_22W2JCLT3_L1_1	30.56	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium cosmicum_A
