sample	coverage	taxonomy
carK_2_DKDN250001547-1A_22Y2CMLT3_L2_1	10.4	Root; d__Bacteria
carK_2_DKDN250001547-1A_22Y2CMLT3_L2_1	0.45	Root; d__Bacteria; p__Pseudomonadota
carK_2_DKDN250001547-1A_22Y2CMLT3_L2_1	0.85	Root; d__Bacteria; p__Actinomycetota
carK_2_DKDN250001547-1A_22Y2CMLT3_L2_1	0.4	Root; d__Bacteria; p__Patescibacteriota
carK_2_DKDN250001547-1A_22Y2CMLT3_L2_1	1.51	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
carK_2_DKDN250001547-1A_22Y2CMLT3_L2_1	0.4	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
carK_2_DKDN250001547-1A_22Y2CMLT3_L2_1	0.57	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
carK_2_DKDN250001547-1A_22Y2CMLT3_L2_1	0.4	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
carK_2_DKDN250001547-1A_22Y2CMLT3_L2_1	1.12	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
carK_2_DKDN250001547-1A_22Y2CMLT3_L2_1	0.06	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales
carK_2_DKDN250001547-1A_22Y2CMLT3_L2_1	0.17	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales
carK_2_DKDN250001547-1A_22Y2CMLT3_L2_1	0.17	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
carK_2_DKDN250001547-1A_22Y2CMLT3_L2_1	15.73	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae
carK_2_DKDN250001547-1A_22Y2CMLT3_L2_1	1.41	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae
carK_2_DKDN250001547-1A_22Y2CMLT3_L2_1	3.38	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae
carK_2_DKDN250001547-1A_22Y2CMLT3_L2_1	1.69	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae
carK_2_DKDN250001547-1A_22Y2CMLT3_L2_1	0.91	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae
carK_2_DKDN250001547-1A_22Y2CMLT3_L2_1	0.25	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Methylophilaceae
carK_2_DKDN250001547-1A_22Y2CMLT3_L2_1	64.59	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium
carK_2_DKDN250001547-1A_22Y2CMLT3_L2_1	0.35	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Afipia
carK_2_DKDN250001547-1A_22Y2CMLT3_L2_1	0.58	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium
carK_2_DKDN250001547-1A_22Y2CMLT3_L2_1	2.28	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Phenylobacterium
carK_2_DKDN250001547-1A_22Y2CMLT3_L2_1	0.44	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Caulobacter
carK_2_DKDN250001547-1A_22Y2CMLT3_L2_1	0.5	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas
carK_2_DKDN250001547-1A_22Y2CMLT3_L2_1	1.11	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium
carK_2_DKDN250001547-1A_22Y2CMLT3_L2_1	0.4	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Cellvibrionaceae; g__Cellvibrio
carK_2_DKDN250001547-1A_22Y2CMLT3_L2_1	0.78	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Methylophilaceae; g__Methylophilus
carK_2_DKDN250001547-1A_22Y2CMLT3_L2_1	332.16	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium sp036924515
carK_2_DKDN250001547-1A_22Y2CMLT3_L2_1	207.69	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium algeriense
carK_2_DKDN250001547-1A_22Y2CMLT3_L2_1	0.57	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__Burkholderia multivorans
