sample	coverage	taxonomy
carK_4_DKDN250001548-1A_22KVLLLT4_L6_1	16.11	Root; d__Bacteria
carK_4_DKDN250001548-1A_22KVLLLT4_L6_1	0.4	Root; d__Bacteria; p__Pseudomonadota
carK_4_DKDN250001548-1A_22KVLLLT4_L6_1	0.23	Root; d__Bacteria; p__Actinomycetota
carK_4_DKDN250001548-1A_22KVLLLT4_L6_1	2.34	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
carK_4_DKDN250001548-1A_22KVLLLT4_L6_1	1.36	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
carK_4_DKDN250001548-1A_22KVLLLT4_L6_1	0.61	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
carK_4_DKDN250001548-1A_22KVLLLT4_L6_1	0.23	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia
carK_4_DKDN250001548-1A_22KVLLLT4_L6_1	0.11	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
carK_4_DKDN250001548-1A_22KVLLLT4_L6_1	2.22	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
carK_4_DKDN250001548-1A_22KVLLLT4_L6_1	0.17	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales
carK_4_DKDN250001548-1A_22KVLLLT4_L6_1	0.06	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Micavibrionales
carK_4_DKDN250001548-1A_22KVLLLT4_L6_1	0.45	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
carK_4_DKDN250001548-1A_22KVLLLT4_L6_1	0.34	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales
carK_4_DKDN250001548-1A_22KVLLLT4_L6_1	7.96	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae
carK_4_DKDN250001548-1A_22KVLLLT4_L6_1	2.16	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae
carK_4_DKDN250001548-1A_22KVLLLT4_L6_1	2.74	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae
carK_4_DKDN250001548-1A_22KVLLLT4_L6_1	3.12	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae
carK_4_DKDN250001548-1A_22KVLLLT4_L6_1	0.45	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae
carK_4_DKDN250001548-1A_22KVLLLT4_L6_1	0.52	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Methylophilaceae
carK_4_DKDN250001548-1A_22KVLLLT4_L6_1	2.05	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae
carK_4_DKDN250001548-1A_22KVLLLT4_L6_1	0.23	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae
