sample	coverage	taxonomy
carR_10_DKDN250001554-1A_22VYGNLT3_L3_1	11.21	Root; d__Bacteria
carR_10_DKDN250001554-1A_22VYGNLT3_L3_1	0.9	Root; d__Bacteria; p__Pseudomonadota
carR_10_DKDN250001554-1A_22VYGNLT3_L3_1	0.4	Root; d__Bacteria; p__Actinomycetota
carR_10_DKDN250001554-1A_22VYGNLT3_L3_1	0.6	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
carR_10_DKDN250001554-1A_22VYGNLT3_L3_1	0.91	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
carR_10_DKDN250001554-1A_22VYGNLT3_L3_1	0.31	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia
carR_10_DKDN250001554-1A_22VYGNLT3_L3_1	0.51	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
carR_10_DKDN250001554-1A_22VYGNLT3_L3_1	1.79	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
carR_10_DKDN250001554-1A_22VYGNLT3_L3_1	0.06	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales
carR_10_DKDN250001554-1A_22VYGNLT3_L3_1	0.06	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales
carR_10_DKDN250001554-1A_22VYGNLT3_L3_1	0.8	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
carR_10_DKDN250001554-1A_22VYGNLT3_L3_1	0.34	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales
carR_10_DKDN250001554-1A_22VYGNLT3_L3_1	0.11	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales
carR_10_DKDN250001554-1A_22VYGNLT3_L3_1	0.06	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales
