sample	coverage	taxonomy
carR_10_DKDN250001554-1A_22W2JCLT3_L1_1	5.98	Root; d__Bacteria
carR_10_DKDN250001554-1A_22W2JCLT3_L1_1	1.02	Root; d__Bacteria; p__Pseudomonadota
carR_10_DKDN250001554-1A_22W2JCLT3_L1_1	1.4	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
carR_10_DKDN250001554-1A_22W2JCLT3_L1_1	0.45	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
carR_10_DKDN250001554-1A_22W2JCLT3_L1_1	0.51	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia
carR_10_DKDN250001554-1A_22W2JCLT3_L1_1	0.96	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
carR_10_DKDN250001554-1A_22W2JCLT3_L1_1	0.74	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
carR_10_DKDN250001554-1A_22W2JCLT3_L1_1	0.23	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales
carR_10_DKDN250001554-1A_22W2JCLT3_L1_1	0.06	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales
carR_10_DKDN250001554-1A_22W2JCLT3_L1_1	0.4	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
carR_10_DKDN250001554-1A_22W2JCLT3_L1_1	4.02	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae
carR_10_DKDN250001554-1A_22W2JCLT3_L1_1	0.98	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae
carR_10_DKDN250001554-1A_22W2JCLT3_L1_1	2.92	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae
carR_10_DKDN250001554-1A_22W2JCLT3_L1_1	1.01	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae
carR_10_DKDN250001554-1A_22W2JCLT3_L1_1	0.06	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Methylophilaceae
carR_10_DKDN250001554-1A_22W2JCLT3_L1_1	1.36	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae
carR_10_DKDN250001554-1A_22W2JCLT3_L1_1	0.4	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae
carR_10_DKDN250001554-1A_22W2JCLT3_L1_1	94.36	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium
carR_10_DKDN250001554-1A_22W2JCLT3_L1_1	0.44	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium
carR_10_DKDN250001554-1A_22W2JCLT3_L1_1	3.99	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Phenylobacterium
carR_10_DKDN250001554-1A_22W2JCLT3_L1_1	0.74	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium
carR_10_DKDN250001554-1A_22W2JCLT3_L1_1	0.4	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Cellvibrionaceae; g__Cellvibrio
carR_10_DKDN250001554-1A_22W2JCLT3_L1_1	0.45	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Methylophilaceae; g__Methylophilus
carR_10_DKDN250001554-1A_22W2JCLT3_L1_1	59.04	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium sp036924515
carR_10_DKDN250001554-1A_22W2JCLT3_L1_1	16.62	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium sp036924535
carR_10_DKDN250001554-1A_22W2JCLT3_L1_1	200.54	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium algeriense
