sample	coverage	taxonomy
hok_5_DKDN250001573-1A_22KVLLLT4_L8_1	0.37	Root; d__Archaea
hok_5_DKDN250001573-1A_22KVLLLT4_L8_1	5.4	Root; d__Bacteria
hok_5_DKDN250001573-1A_22KVLLLT4_L8_1	0.1	Root; d__Bacteria; p__Pseudomonadota
hok_5_DKDN250001573-1A_22KVLLLT4_L8_1	1.25	Root; d__Bacteria; p__Actinomycetota
hok_5_DKDN250001573-1A_22KVLLLT4_L8_1	0.57	Root; d__Bacteria; p__Planctomycetota
hok_5_DKDN250001573-1A_22KVLLLT4_L8_1	0.34	Root; d__Bacteria; p__Acidobacteriota
hok_5_DKDN250001573-1A_22KVLLLT4_L8_1	5.82	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
hok_5_DKDN250001573-1A_22KVLLLT4_L8_1	1.19	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
hok_5_DKDN250001573-1A_22KVLLLT4_L8_1	0.63	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
hok_5_DKDN250001573-1A_22KVLLLT4_L8_1	1.19	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
hok_5_DKDN250001573-1A_22KVLLLT4_L8_1	0.45	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
hok_5_DKDN250001573-1A_22KVLLLT4_L8_1	14.1	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
hok_5_DKDN250001573-1A_22KVLLLT4_L8_1	0.11	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales
hok_5_DKDN250001573-1A_22KVLLLT4_L8_1	0.53	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
hok_5_DKDN250001573-1A_22KVLLLT4_L8_1	0.4	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales
hok_5_DKDN250001573-1A_22KVLLLT4_L8_1	0.4	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales
hok_5_DKDN250001573-1A_22KVLLLT4_L8_1	18.75	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae
hok_5_DKDN250001573-1A_22KVLLLT4_L8_1	1.16	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae
hok_5_DKDN250001573-1A_22KVLLLT4_L8_1	4.0	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae
hok_5_DKDN250001573-1A_22KVLLLT4_L8_1	5.45	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae
