sample	coverage	taxonomy
mtz_3_DKDN250001566-1A_22VYGNLT3_L3_1	0.37	Root; d__Archaea
mtz_3_DKDN250001566-1A_22VYGNLT3_L3_1	5.91	Root; d__Bacteria
mtz_3_DKDN250001566-1A_22VYGNLT3_L3_1	6.12	Root; d__Bacteria; p__Pseudomonadota
mtz_3_DKDN250001566-1A_22VYGNLT3_L3_1	0.74	Root; d__Bacteria; p__Actinomycetota
mtz_3_DKDN250001566-1A_22VYGNLT3_L3_1	0.28	Root; d__Bacteria; p__Planctomycetota
mtz_3_DKDN250001566-1A_22VYGNLT3_L3_1	0.4	Root; d__Bacteria; p__Acidobacteriota
mtz_3_DKDN250001566-1A_22VYGNLT3_L3_1	9.67	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
mtz_3_DKDN250001566-1A_22VYGNLT3_L3_1	0.8	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
mtz_3_DKDN250001566-1A_22VYGNLT3_L3_1	1.14	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
mtz_3_DKDN250001566-1A_22VYGNLT3_L3_1	0.4	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
mtz_3_DKDN250001566-1A_22VYGNLT3_L3_1	11.6	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
mtz_3_DKDN250001566-1A_22VYGNLT3_L3_1	0.11	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales
mtz_3_DKDN250001566-1A_22VYGNLT3_L3_1	0.85	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
mtz_3_DKDN250001566-1A_22VYGNLT3_L3_1	0.45	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales
mtz_3_DKDN250001566-1A_22VYGNLT3_L3_1	44.12	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae
mtz_3_DKDN250001566-1A_22VYGNLT3_L3_1	0.53	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae
mtz_3_DKDN250001566-1A_22VYGNLT3_L3_1	0.36	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae
mtz_3_DKDN250001566-1A_22VYGNLT3_L3_1	2.85	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae
mtz_3_DKDN250001566-1A_22VYGNLT3_L3_1	0.74	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
mtz_3_DKDN250001566-1A_22VYGNLT3_L3_1	1.64	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae
mtz_3_DKDN250001566-1A_22VYGNLT3_L3_1	2.16	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae
mtz_3_DKDN250001566-1A_22VYGNLT3_L3_1	273.34	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium
mtz_3_DKDN250001566-1A_22VYGNLT3_L3_1	0.53	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Afipia
mtz_3_DKDN250001566-1A_22VYGNLT3_L3_1	0.44	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium
mtz_3_DKDN250001566-1A_22VYGNLT3_L3_1	1.13	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Phenylobacterium
mtz_3_DKDN250001566-1A_22VYGNLT3_L3_1	136.61	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium sp036924515
mtz_3_DKDN250001566-1A_22VYGNLT3_L3_1	96.38	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium algeriense
