"KO","Definition","Functional_Category","Traits","n_traits","Mean_Importance","cor_percent_N","cor_Plant_Biomass","cor_Fixation_per_Nodule","cor_NMF","slope_percent_N","slope_Plant_Biomass","slope_Fixation_per_Nodule","slope_NMF","Short_Def","Pathways","BRITE"
"K10823","oligopeptide transport system ATP-binding protein","Amino acid metabolism","Plant_Biomass",1,5.95366001771772,0.0599044045323792,-0.53914871226172,-0.0225309576539463,-0.320442872394797,0.22014472573087,-3.66279818366208,-1.31459100697538,-0.0263315223825366,"oligopeptide transport system ATP-binding protein","map01501; map02010; map02024",NA
"K16254","mxaJ protein","Amino acid metabolism","Plant_Biomass",1,5.83204696726401,-0.110231582775937,0.282056526886388,-0.292724119499339,0.381265496553161,-0.104356550379884,0.493633600611217,-4.39980729777451,0.00807080769399466,"mxaJ protein","map00680; map01100; map01120",NA
"K09161","uncharacterized protein","Amino acid metabolism","percent_N",1,5.21579803389223,0.500401101123985,-0.435905779191387,-0.101232315367009,0.261070349258187,29.5626372910047,-47.6071774438218,-94.9523165130915,0.34487228293825,"uncharacterized protein",NA,NA
"K02361","isochorismate synthase [EC:5.4.4.2]","Amino acid metabolism","percent_N",1,4.70784262163299,-0.561482188381013,0.0980196860469972,0.0962832632186896,-0.261109308660008,-54.742668507381,17.6668115105511,149.039799282818,-0.569230495153841,"isochorismate synthase [EC:5.4.4.2]","map00130; map01053; map01100; map01110",NA
"K10025","arginine/ornithine transport system ATP-binding protein [EC:7.4.2.1]","Amino acid metabolism","percent_N",1,4.23768412975554,-0.671029535432737,0.0165744899422285,-0.00769537899437922,-0.491105749952546,-46.2493881126557,2.11183224183578,-8.42084832313803,-0.756859379985045,"arginine/ornithine transport system ATP-binding...","map02010",NA
"K04067","primosomal replication protein N''","Amino acid metabolism","Fixation_per_Nodule",1,3.95666284449252,0.231954065612724,0.299578207628317,0.438392291327617,-0.058377550739648,24.476377517155,58.440007150506,734.462351859526,-0.137742146773666,"primosomal replication protein N''","map03440",NA
"K02825","pyrimidine operon attenuation protein / uracil phosphoribosyltransferase [EC:2.4.2.9]","Amino acid metabolism","percent_N",1,3.45844384119946,-0.430209193329523,0.136107610150866,0.282204050531515,-0.290570990827699,-9.86621429644852,5.77042969781502,102.753252225235,-0.149004345849854,"pyrimidine operon attenuation protein / uracil ...","map00240; map01100; map01232",NA
"K06077","outer membrane lipoprotein SlyB","Amino acid metabolism","NMF",1,3.34300630736021,-0.303631222768605,0.178196521570941,0.404400183593696,-0.306126359261482,-9.95275510022674,10.7981908734113,210.460069522844,-0.224374469580232,"outer membrane lipoprotein SlyB",NA,NA
"K12060","conjugal transfer pilus assembly protein TraU","Amino acid metabolism","percent_N",1,3.29198804862924,-0.49780088297402,0.0512987826658738,0.0582225894879045,-0.298370312099522,-52.0019127309912,9.90662225059765,96.5643115858477,-0.696939512997088,"conjugal transfer pilus assembly protein TraU",NA,NA
"K19172","DNA sulfur modification protein DndE","Amino acid metabolism","percent_N",1,3.23321982315471,-0.21802370017946,0.312104068802438,0.119151638919337,0.0355920558514635,-3.93566332976179,10.4152225235729,34.1488223174109,0.0143662404834015,"DNA sulfur modification protein DndE",NA,NA
"K02686","primosomal replication protein N","Amino acid metabolism","NMF",1,3.17153849340693,-0.379273668512929,0.0717118847336685,0.362954080442055,-0.429583863763327,-18.4754714689697,6.45786352286278,280.708780075639,-0.467914626218116,"primosomal replication protein N","map03440",NA
"K02673","type IV pilus assembly protein PilX","Amino acid metabolism","Fixation_per_Nodule",1,3.11033838729385,-0.431521845748618,-0.0100590626411844,-0.106058720763942,-0.0786930278961319,-42.9756661392951,-1.85196268328342,-167.697925839596,-0.175239461520943,"type IV pilus assembly protein PilX",NA,NA
"K17330","N,N'-diacetylchitobiose transport system permease protein","Amino acid metabolism","Plant_Biomass",1,2.93784780555952,-0.210030676958209,0.379081426901954,0.379957679523002,-0.0865088384040721,-23.5925535407339,78.719007937397,677.624219356276,-0.217284387013697,"N,N'-diacetylchitobiose transport system permea...","map02010",NA
"K02839","peptide chain release factor","Amino acid metabolism","percent_N",1,2.35899005175907,0.349654821727006,0.184223048495745,0.260845435273392,0.0471398030023674,0.899127227487836,0.875750675088085,10.6494295514564,0.00271047380488394,"peptide chain release factor",NA,NA
"K10195","oligogalacturonide transport system ATP-binding protein","Amino acid metabolism","percent_N",1,2.34624471179606,-0.416556223494966,0.226380018882267,0.175081073528494,-0.15570448882445,-36.1352374167642,36.3036478059251,241.133728890586,-0.302018983583999,"oligogalacturonide transport system ATP-binding...","map02010",NA
"K25889","glucosyltransferase","Cell envelope","Plant_Biomass",1,4.72871255115174,0.138785335501448,0.205430182495132,0.0060388833924868,0.462085992058984,1.27756354830087,3.49589252598965,0.882586036543661,0.0951124916643599,"glucosyltransferase","map00543",NA
"K01809","mannose-6-phosphate isomerase [EC:5.3.1.8]","Cofactor biosynthesis","percent_N",1,5.67414768674949,-0.37858768929243,0.0921992744683175,-0.273874799235806,-0.0566216149405735,-0.503917861195623,0.226869260940815,-5.78771067343585,-0.00168519957060406,"mannose-6-phosphate isomerase [EC:5.3.1.8]","map00051; map00520; map01100; map01110; map01240; map01250",NA
"K00949","thiamine pyrophosphokinase [EC:2.7.6.2]","Cofactor biosynthesis","percent_N",1,4.00727337915212,-0.46634913846394,0.193081417437705,0.135967875982362,-0.204163691572978,-20.2072146993244,15.466450067163,93.5390740457987,-0.197810622784991,"thiamine pyrophosphokinase [EC:2.7.6.2]","map00730; map01100; map01240",NA
"K01661","naphthoate synthase [EC:4.1.3.36]","Cofactor biosynthesis","percent_N",1,3.7622524026857,-0.592833744499646,-0.0708694194050252,0.0279859484611429,-0.329056831140277,-18.3267405868873,-4.05010310847692,13.7357956978055,-0.227456866041302,"naphthoate synthase [EC:4.1.3.36]","map00130; map01100; map01110; map01240",NA
"K03644","lipoyl synthase [EC:2.8.1.8]","Cofactor biosynthesis","percent_N",1,3.02127376201488,0.291207644835924,0.106831326047629,0.426253136362458,-0.139883219608739,0.45535167529547,0.308814493170606,10.5821333619954,-0.00489086426237023,"lipoyl synthase [EC:2.8.1.8]","map00785; map01100; map01240",NA
"K00219","2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]","Energy metabolism","Fixation_per_Nodule",1,6.42037913255125,0.0653105545570999,0.406844566736291,0.355491711351669,0.00387341283769865,0.205856414083619,2.37063362882689,17.7898377517795,0.000272992454281553,"2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]",NA,NA
"K09021","aminoacrylate peracid reductase","Energy metabolism","NMF",1,5.51394989678387,0.00490423835955754,0.260323824140381,0.183455816743844,-0.232116075035172,0.0309826993056526,3.04030032530499,18.400966920029,-0.032789041686803,"aminoacrylate peracid reductase","map00240; map01100",NA
"K03301","ATP:ADP antiporter, AAA family","Energy metabolism","NMF",1,5.2411832765179,-0.313275924571948,0.193905166177327,0.425251601951128,-0.279568388934433,-10.934961663486,12.5122240611487,235.666406074961,-0.218199691196498,"ATP:ADP antiporter, AAA family",NA,NA
"K03567","glycine cleavage system transcriptional repressor","Genetic information","Plant_Biomass",1,3.75265513891708,-0.182916660994992,0.243482873925027,0.430720559040867,-0.287546355003333,-22.9789172518301,56.5457024861771,859.079536579955,-0.807718418731196,"glycine cleavage system transcriptional repressor","map02026",NA
"K03656","ATP-dependent DNA helicase Rep [EC:5.6.2.4]","Genetic information","Fixation_per_Nodule",1,3.02588529819178,-0.234230670312754,0.143974986613027,-0.385421097028779,0.190817281677161,-0.763359271870408,0.867415461180324,-19.9426185794784,0.0139052484161765,"ATP-dependent DNA helicase Rep [EC:5.6.2.4]",NA,NA
"K01130","arylsulfatase [EC:3.1.6.1]","Lipid metabolism","Fixation_per_Nodule",1,3.3699515086022,-0.250432338369463,0.358110161365317,0.319938683782752,-0.106430891841924,-17.9454554638775,47.439009148274,363.992392286976,-0.170532673831615,"arylsulfatase [EC:3.1.6.1]","map00600; map01100",NA
