"KO","Trait","MeanImp","Decision"
"K00219","Fixation_per_Nodule",6.42037913255125,"Confirmed"
"K12434","Fixation_per_Nodule",5.23777356252578,"Confirmed"
"K19666","Fixation_per_Nodule",5.16932905536365,"Confirmed"
"K16168","Fixation_per_Nodule",4.9787706952012,"Confirmed"
"K12441","Fixation_per_Nodule",4.95120882405579,"Confirmed"
"K01318","Fixation_per_Nodule",4.9211247879985,"Confirmed"
"K12443","Fixation_per_Nodule",4.82781708677136,"Confirmed"
"K06609","Fixation_per_Nodule",4.54894144372023,"Confirmed"
"K03581","Fixation_per_Nodule",4.16693730098592,"Confirmed"
"K04067","Fixation_per_Nodule",3.95666284449252,"Confirmed"
"K01130","Fixation_per_Nodule",3.3699515086022,"Confirmed"
"K02673","Fixation_per_Nodule",3.11033838729385,"Confirmed"
"K03656","Fixation_per_Nodule",3.02588529819178,"Confirmed"
"K22295","Fixation_per_Nodule",2.58237784842419,"Confirmed"
"K05568","Fixation_per_Nodule",2.43978047795506,"Confirmed"
"K07489","Fixation_per_Nodule",2.3507941811638,"Confirmed"
"K05986","NMF",5.78962289201864,"Confirmed"
"K09021","NMF",5.51394989678387,"Confirmed"
"K03380","NMF",5.40231336766221,"Confirmed"
"K22847","NMF",5.2481390217984,"Confirmed"
"K03301","NMF",5.2411832765179,"Confirmed"
"K01800","NMF",4.77250012371212,"Confirmed"
"K05565","NMF",3.76080943440997,"Confirmed"
"K04040","NMF",3.65358721223441,"Confirmed"
"K19594","NMF",3.48501057432307,"Confirmed"
"K22082","NMF",3.38913677819465,"Confirmed"
"K06077","NMF",3.34300630736021,"Confirmed"
"K18104","NMF",3.30029556510956,"Confirmed"
"K02686","NMF",3.17153849340693,"Confirmed"
"K07734","NMF",2.7034104528195,"Confirmed"
"K16870","NMF",2.45398205209347,"Confirmed"
"K14581","Plant_Biomass",7.34328403193663,"Confirmed"
"K03891","Plant_Biomass",7.02630804995279,"Confirmed"
"K25649","Plant_Biomass",6.07327441745737,"Confirmed"
"K10823","Plant_Biomass",5.95366001771772,"Confirmed"
"K16254","Plant_Biomass",5.83204696726401,"Confirmed"
"K15526","Plant_Biomass",4.94121655495951,"Confirmed"
"K25889","Plant_Biomass",4.72871255115174,"Confirmed"
"K03567","Plant_Biomass",3.75265513891708,"Confirmed"
"K17330","Plant_Biomass",2.93784780555952,"Confirmed"
"K22934","Plant_Biomass",2.82747227829636,"Confirmed"
"K19686","Plant_Biomass",2.63603464798378,"Confirmed"
"K01809","percent_N",5.67414768674949,"Confirmed"
"K09161","percent_N",5.21579803389223,"Confirmed"
"K02361","percent_N",4.70784262163299,"Confirmed"
"K07816","percent_N",4.26784559521239,"Confirmed"
"K10025","percent_N",4.23768412975554,"Confirmed"
"K05713","percent_N",4.07427254972453,"Confirmed"
"K00949","percent_N",4.00727337915212,"Confirmed"
"K07535","percent_N",3.88583396562979,"Confirmed"
"K01661","percent_N",3.7622524026857,"Confirmed"
"K00956","percent_N",3.61056635695212,"Confirmed"
"K02570","percent_N",3.46764321019148,"Confirmed"
"K02825","percent_N",3.45844384119946,"Confirmed"
"K03672","percent_N",3.43007984344172,"Confirmed"
"K00029","percent_N",3.36348412307879,"Confirmed"
"K12060","percent_N",3.29198804862924,"Confirmed"
"K19172","percent_N",3.23321982315471,"Confirmed"
"K00428","percent_N",3.03302923383876,"Confirmed"
"K03644","percent_N",3.02127376201488,"Confirmed"
"K02568","percent_N",2.64113127652728,"Confirmed"
"K13075","percent_N",2.59678709249253,"Confirmed"
"K14534","percent_N",2.57815073866153,"Confirmed"
"K02839","percent_N",2.35899005175907,"Confirmed"
"K10195","percent_N",2.34624471179606,"Confirmed"
"K18095","percent_N",2.29154486967724,"Confirmed"
"K06726","percent_N",2.27580212623395,"Confirmed"
