KO,Metric,MeanImp,SpearmanRho,Pvalue,Description,Pathways,Modules,BRITE_L1,BRITE_L2,BRITE_L3,in_symbiont,symbiont_label
K14941,richness,3.4673619479281723,-0.6872,3.824e-5,"cofC, fbiD; 2-phospho-L-lactate/phosphoenolpyruvate guanylyltransferase [EC:2.7.7.68 2.7.7.105]",Methane metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Biosynthesis of cofactors,"F420 biosynthesis, archaea",Metabolism,Energy metabolism,Methane metabolism,TRUE,Symbiont-encoded
K11212,richness,3.444235119565925,-0.665,8.31e-5,cofD; LPPG:FO 2-phospho-L-lactate transferase [EC:2.7.8.28],Methane metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Biosynthesis of cofactors,"F420 biosynthesis, archaea",Metabolism,Energy metabolism,Methane metabolism,TRUE,Symbiont-encoded
K11779,richness,3.4075534708828505,-0.6677,7.576e-5,fbiC; FO synthase [EC:2.5.1.147 4.3.1.32],Methane metabolism; Metabolic pathways; Microbial metabolism in diverse environments,NA,Metabolism,Energy metabolism,Methane metabolism,TRUE,Symbiont-encoded
K03380,richness,3.327972019683194,-0.6949,2.872e-5,E1.14.13.7; phenol 2-monooxygenase (NADPH) [EC:1.14.13.7],Toluene degradation; Aminobenzoate degradation; Microbial metabolism in diverse environments,NA,Metabolism,Xenobiotics biodegradation and metabolism,Aminobenzoate degradation; Toluene degradation,TRUE,Symbiont-encoded
K06978,richness,2.9575961565856903,0.7926,2.979e-7,K06978; uncharacterized protein,NA,NA,Not Included in Pathway or Brite,Poorly characterized,Function unknown,TRUE,Symbiont-encoded
K13874,richness,2.9179218092806605,-0.7277,7.719e-6,araB; L-arabinonolactonase [EC:3.1.1.15],Ascorbate and aldarate metabolism; Metabolic pathways,NA,Metabolism,Carbohydrate metabolism,Ascorbate and aldarate metabolism,FALSE,Not in symbiont
K16319,richness,2.903929079215649,0.8111,9.508e-8,"andAc; anthranilate 1,2-dioxygenase large subunit [EC:1.14.12.1]",Aminobenzoate degradation; Metabolic pathways; Microbial metabolism in diverse environments,"Anthranilate degradation, anthranilate => catechol",Metabolism,Xenobiotics biodegradation and metabolism,Aminobenzoate degradation,TRUE,Symbiont-encoded
K23058,richness,2.896382403824165,0.7179,1.163e-5,K23058; putative lysine/arginine/ornithine/histidine/octopine transport system ATP-binding protein [EC:7.4.2.1],ABC transporters,NA,Environmental Information Processing; Brite Hierarchies,Membrane transport; Protein families: signaling and cellular processes,ABC transporters; Transporters,FALSE,Not in symbiont
K00320,richness,2.891273098869931,-0.7107,1.561e-5,"mer; 5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]",Methane metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism,"Methanogenesis, CO2 => methane",Metabolism,Energy metabolism,Methane metabolism,TRUE,Symbiont-encoded
K12234,richness,2.88863856927567,-0.6505,1.333e-4,cofE; coenzyme F420-0:L-glutamate ligase / coenzyme F420-1:gamma-L-glutamate ligase [EC:6.3.2.31 6.3.2.34],Methane metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Biosynthesis of cofactors,"F420 biosynthesis, archaea",Metabolism,Energy metabolism,Methane metabolism,TRUE,Symbiont-encoded
K06988,richness,2.8153557104760254,-0.7923,3.023e-7,fno; 8-hydroxy-5-deazaflavin:NADPH oxidoreductase [EC:1.5.1.40],NA,NA,Not Included in Pathway or Brite,Unclassified: metabolism,Enzymes with EC numbers,TRUE,Symbiont-encoded
K20468,richness,2.737513635447933,0.2237,0.2433,K20468; putative heme transporter,NA,NA,Brite Hierarchies,Protein families: signaling and cellular processes,Transporters,FALSE,Not in symbiont
K20331,richness,2.6998825911358995,-0.7566,2.045e-6,toxA; toxoflavin synthase [EC:2.1.1.349],Quorum sensing,NA,Cellular Processes,Cellular community - prokaryotes,Quorum sensing,TRUE,Symbiont-encoded
K16347,richness,2.6910470108573046,0.7019,2.2e-5,ecnA; entericidin A,NA,NA,Brite Hierarchies,Protein families: signaling and cellular processes,Transporters,FALSE,Not in symbiont
K21138,richness,2.683416134332914,-0.7322,6.351e-6,"HDDC3; guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase [EC:3.1.7.2]",Purine metabolism; Metabolic pathways,NA,Metabolism,Nucleotide metabolism,Purine metabolism,FALSE,Not in symbiont
K16090,richness,2.662168813286351,-0.7846,4.715e-7,fiu; catecholate siderophore receptor,NA,NA,Brite Hierarchies,Protein families: signaling and cellular processes,Transporters,TRUE,Symbiont-encoded
K09919,richness,2.6418448447686194,-0.7918,3.113e-7,K09919; uncharacterized protein,NA,NA,Not Included in Pathway or Brite,Poorly characterized,Function unknown,TRUE,Symbiont-encoded
K01130,richness,2.6341259784153435,0.7107,1.561e-5,"atsA, aslA; arylsulfatase [EC:3.1.6.1]",Sphingolipid metabolism; Metabolic pathways,NA,Metabolism,Lipid metabolism,Sphingolipid metabolism,TRUE,Symbiont-encoded
