"KO","meanImp","medianImp","minImp","maxImp","normHits","decision","Trait","Description","Category_A","Category_B","Category_C"
"K01809",6.30941499953219,6.53600082214057,-0.931580523098878,8.1592575238931,0.964646464646465,"Confirmed","percent_N","mannose-6-phosphate isomerase","A09100 Metabolism","09101 Carbohydrate metabolism","00051 Fructose and mannose metabolism [PATH:ko00051]"
"K03621",5.36457462522776,5.59271589851668,0,7.11482898295143,0.957070707070707,"Confirmed","percent_N","phosphate acyltransferase","A09100 Metabolism","09103 Lipid metabolism","00561 Glycerolipid metabolism [PATH:ko00561]"
"K13590",5.07644594802268,5.23546336869719,-0.0465617054587624,6.68162375637446,0.95959595959596,"Confirmed","percent_N","diguanylate cyclase","A09140 Cellular Processes","09143 Cell growth and death","04112 Cell cycle - Caulobacter [PATH:ko04112]"
"K10025",5.02923228614133,5.18054505439951,-0.624509948858376,6.89619118363243,0.954545454545455,"Confirmed","percent_N","arginine/ornithine transport system ATP-binding protein","A09130 Environmental Information Processing","09131 Membrane transport","02010 ABC transporters [PATH:ko02010]"
"K01082",4.30752074814479,4.48061425187601,0,5.79483540083059,0.944444444444444,"Confirmed","percent_N","3'(2'), 5'-bisphosphate nucleotidase","A09100 Metabolism","09102 Energy metabolism","00920 Sulfur metabolism [PATH:ko00920]"
"K01652",4.2158412640667,4.40577371892112,-1.03739589992677,5.76096688592689,0.934343434343434,"Confirmed","percent_N","acetolactate synthase I/II/III large subunit","A09100 Metabolism","09101 Carbohydrate metabolism","00650 Butanoate metabolism [PATH:ko00650]"
"K03672",4.20462625400037,4.34230404523949,-1.00100150250438,5.69839848693374,0.931818181818182,"Confirmed","percent_N","thioredoxin 2","A09180 Brite Hierarchies","09182 Protein families: genetic information processing","03110 Chaperones and folding catalysts [BR:ko03110]"
"K24101",4.08161269240742,4.23305675002076,-0.299050453230435,6.07762954368125,0.934343434343434,"Confirmed","percent_N","L-arginine---[L-arginyl-carrier protein] ligase","A09180 Brite Hierarchies","09181 Protein families: metabolism","01008 Polyketide biosynthesis proteins [BR:ko01008]"
"K00383",3.82004972975776,3.94418731020937,-1.36630642326134,5.98602521002731,0.921717171717172,"Confirmed","percent_N","glutathione reductase (NADPH)","A09100 Metabolism","09106 Metabolism of other amino acids","00480 Glutathione metabolism [PATH:ko00480]"
"K12057",3.62581288770288,3.79022209482698,-1.13798954696499,5.41643670365184,0.909090909090909,"Confirmed","percent_N","conjugal transfer pilus assembly protein TraF","A09180 Brite Hierarchies","09183 Protein families: signaling and cellular processes","02044 Secretion system [BR:ko02044]"
"K18829",3.62188701100175,3.73580602129621,-1.00100150250438,5.93982984216156,0.893939393939394,"Confirmed","percent_N","antitoxin VapB","A09180 Brite Hierarchies","09183 Protein families: signaling and cellular processes","02048 Prokaryotic defense system [BR:ko02048]"
"K08685",3.56598235264597,3.6537063639258,0,5.16971262825731,0.904040404040404,"Confirmed","percent_N","quinohemoprotein amine dehydrogenase","A09100 Metabolism","09102 Energy metabolism","00680 Methane metabolism [PATH:ko00680]"
"K05799",3.44611679259401,3.57180498109451,-0.660457677071796,5.01390823004179,0.878787878787879,"Confirmed","percent_N","GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex","A09180 Brite Hierarchies","09182 Protein families: genetic information processing","03000 Transcription factors [BR:ko03000]"
"K18997",3.38625332840767,3.54363895096254,0,5.18519811924541,0.853535353535353,"Confirmed","percent_N","chaperone modulatory protein CbpM","A09180 Brite Hierarchies","09182 Protein families: genetic information processing","03036 Chromosome and associated proteins [BR:ko03036]"
"K01034",3.37505487839449,3.52266222921951,-1.60441466792206,5.49203053299656,0.835858585858586,"Confirmed","percent_N","acetate CoA/acetoacetate CoA-transferase alpha subunit","A09100 Metabolism","09101 Carbohydrate metabolism","00650 Butanoate metabolism [PATH:ko00650]"
"K13581",3.24850243394781,3.36573989873907,-0.919227190489538,5.26219589417461,0.825757575757576,"Confirmed","percent_N","modification methylase","A09140 Cellular Processes","09143 Cell growth and death","04112 Cell cycle - Caulobacter [PATH:ko04112]"
"K02836",3.15810103372695,3.28478026366502,-1.18075439852184,4.54635874374492,0.835858585858586,"Confirmed","percent_N","peptide chain release factor 2","A09180 Brite Hierarchies","09182 Protein families: genetic information processing","03012 Translation factors [BR:ko03012]"
"K07777",3.09332077864637,3.23371566057503,-1.00100150250438,4.96274620750502,0.810606060606061,"Confirmed","percent_N","two-component system, NarL family, sensor histidine kinase DegS","A09130 Environmental Information Processing","09132 Signal transduction","02020 Two-component system [PATH:ko02020]"
"K09704",3.09027002220617,3.20657459497781,-1.00100150250438,4.84542941176022,0.823232323232323,"Confirmed","percent_N","uncharacterized protein","A09190 Not Included in Pathway or Brite","09194 Poorly characterized","99997 Function unknown"
"K12060",3.0753407210505,3.19760738009816,-1.00100150250438,4.7536670261252,0.813131313131313,"Confirmed","percent_N","conjugal transfer pilus assembly protein TraU","A09180 Brite Hierarchies","09183 Protein families: signaling and cellular processes","02044 Secretion system [BR:ko02044]"
"K01784",2.99125662691311,3.16645030681963,-1.24994247919799,4.7903410746662,0.767676767676768,"Confirmed","percent_N","UDP-glucose 4-epimerase","A09100 Metabolism","09101 Carbohydrate metabolism","00052 Galactose metabolism [PATH:ko00052]"
"K20539",2.8955466482228,3.00223981411691,-1.00100150250438,4.70266440796707,0.752525252525252,"Confirmed","percent_N","IclR family transcriptional regulator, blcABC operon repressor","A09140 Cellular Processes","09145 Cellular community - prokaryotes","02024 Quorum sensing [PATH:ko02024]"
"K15734",2.85119204865269,3.01831475558634,-1.00100150250438,4.80700953475159,0.737373737373737,"Confirmed","percent_N","all-trans-retinol dehydrogenase (NAD+)","A09100 Metabolism","09108 Metabolism of cofactors and vitamins","00830 Retinol metabolism [PATH:ko00830]"
"K00955",2.71085125518505,2.85412354014479,-1.00100150250438,4.42795632041838,0.696969696969697,"Confirmed","percent_N","bifunctional enzyme CysN/CysC","A09100 Metabolism","09102 Energy metabolism","00920 Sulfur metabolism [PATH:ko00920]"
"K09834",2.63920234897832,2.72924591828779,-1.00100150250438,4.24996878805499,0.689393939393939,"Confirmed","percent_N","tocopherol cyclase","A09100 Metabolism","09108 Metabolism of cofactors and vitamins","00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]"
"K12685",2.57742975591531,2.70199151579806,-1.00100150250438,4.85638407220636,0.618686868686869,"Confirmed","percent_N","subtilase-type serine protease","A09180 Brite Hierarchies","09183 Protein families: signaling and cellular processes","02000 Transporters [BR:ko02000]"
"K03822",6.90274950688549,7.09637225746068,-0.329142498133422,8.50303261120786,0.967935871743487,"Confirmed","Plant_Biomass","putative long chain acyl-CoA synthase","A09180 Brite Hierarchies","09181 Protein families: metabolism","01004 Lipid biosynthesis proteins [BR:ko01004]"
"K01975",5.43906029381073,5.58017021393806,-1.00100150250438,7.40885953516465,0.961923847695391,"Confirmed","Plant_Biomass","RNA 2',3'-cyclic 3'-phosphodiesterase","A09180 Brite Hierarchies","09182 Protein families: genetic information processing","03016 Transfer RNA biogenesis [BR:ko03016]"
"K16669",4.98758624282758,5.1389442833263,-1.12791466169949,6.74714241809494,0.95190380761523,"Confirmed","Plant_Biomass","protocadherin Fat 4","A09130 Environmental Information Processing","09132 Signal transduction","04391 Hippo signaling pathway - fly [PATH:ko04391]"
