Treatment	Sample	Organism	Bin_Prefixed	Bin	Relative_Abundance	classification	domain	completeness	contamination	n50	size
mtz	mtz_1	Endophyte	mtz_binette_bin1	binette_bin1	1.742825	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia multivorans	Bacteria	100	1.4	85550	6502280
mtz	mtz_1	Symbiont	mtz_binette_bin10	binette_bin10	27.745454	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp036924515	Bacteria	67.26	1.72	6502	6094974
mtz	mtz_1	Endophyte	mtz_binette_bin11	binette_bin11	1.308753	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__	Bacteria	66.68	3.99	2202	2756610
mtz	mtz_1	Symbiont	mtz_binette_bin12	binette_bin12	46.983835	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__	Bacteria	58.69	0.64	5037	4451951
mtz	mtz_1	Endophyte	mtz_binette_bin13	binette_bin13	1.304886	Unclassified	Bacteria	58.31	2.92	2570	1536642
mtz	mtz_1	Endophyte	mtz_binette_bin2	binette_bin2	1.493367	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__	Bacteria	99.78	2.03	15617	3589759
mtz	mtz_1	Symbiont	mtz_binette_bin3	binette_bin3	0.706977	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__	Bacteria	95.12	0.39	74242	9314043
mtz	mtz_1	Endophyte	mtz_binette_bin4	binette_bin4	1.075515	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Neorhizobium;s__	Bacteria	96.51	1.24	6534	4278630
mtz	mtz_1	Endophyte	mtz_binette_bin5	binette_bin5	13.251941	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Bacteria	97.17	1.95	13735	3868563
mtz	mtz_1	Endophyte	mtz_binette_bin6	binette_bin6	2.513593	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Bacteria	83.03	0.18	12901	2806011
