KO,Gene_Name
K10823,oppF
K16254,mxaJ
K09161,
K02361,entC
K10025,aotP
K04067,priC
K02825,pyrR
K06077,slyB
K12060,traU
K19172,dndE
K02686,priB
K02673,pilX
K17330,dasB
K02839,prfH
K10195,togA
K25889,aceQ
K01809,manA
K00949,thiN
K01661,menB
K03644,lipA
K00219,fadH
K09021,rutC
K03301,TC.AAA
K03567,gcvR
K03656,rep
K01130,atsA
K14581,nahAa
K01318,sspA
K02570,napD
K22082,mgsB
K00029,maeB
K02568,napB
K14534,abfD
K25649,mgh
K05986,NUCS
K03380,
K16168,bpsB
K01800,maiA
K03581,recD
K05713,mhpB
K07535,badH
K05565,mnhA
K19686,vapC28S
K13075,ahlD
K16870,wbbL
K05568,mnhD
K07489,
K03891,qcrB
K03672,trxC
K00428,
K12434,pks7
K12441,ppsB
K12443,ppsD
K04040,chlG
K22934,
K19666,solR
K07816,
K07734,paiB
K22295,
K22847,cysK2
K15526,mshC
K00956,cysN
K06609,iolT
K19594,gesB
K18104,abcA
K18095,mexY
K06726,rbsD
