kegg_number	RH_1_DKDN250001555-1A_22KVLLLT4_L6_kegg_hits.tsv	RH_2_DKDN250001556-1A_22VYGNLT3_L3_kegg_hits.tsv	RH_2_DKDN250001556-1A_22W2JCLT3_L1_kegg_hits.tsv	RH_3_DKDN250001557-1A_22KVLLLT4_L6_kegg_hits.tsv	RH_5_DKDN250001558-1A_22KVLLLT4_L6_kegg_hits.tsv	RH_8_DKDN250001559-1A_22KVLLLT4_L6_kegg_hits.tsv	carK_1_DKDN250001546-1A_22KVLLLT4_L6_kegg_hits.tsv	carK_2_DKDN250001547-1A_22Y2CMLT3_L2_kegg_hits.tsv	carK_4_DKDN250001548-1A_22KVLLLT4_L6_kegg_hits.tsv	carK_8_DKDN250001549-1A_22Y2CMLT3_L2_kegg_hits.tsv	carK_9_DKDN250001550-1A_22KVLLLT4_L8_kegg_hits.tsv	carR_10_DKDN250001554-1A_22VYGNLT3_L3_kegg_hits.tsv	carR_10_DKDN250001554-1A_22W2JCLT3_L1_kegg_hits.tsv	carR_1_DKDN250001551-1A_22VYGNLT3_L3_kegg_hits.tsv	carR_1_DKDN250001551-1A_22W2JCLT3_L1_kegg_hits.tsv	carR_5_DKDN250001552-1A_22KVLLLT4_L6_kegg_hits.tsv	carR_9_DKDN250001553-1A_22KVLLLT4_L6_kegg_hits.tsv	ces_1_DKDN250001560-1A_22VYGNLT3_L3_kegg_hits.tsv	ces_3_DKDN250001561-1A_22KVLLLT4_L6_kegg_hits.tsv	ces_5_DKDN250001562-1A_22KVLLLT4_L6_kegg_hits.tsv	ces_6_DKDN250001563-1A_22KVLLLT4_L6_kegg_hits.tsv	ces_7_DKDN250001564-1A_22KVLLLT4_L8_kegg_hits.tsv	hok_1_DKDN250001570-1A_22VYGNLT3_L3_kegg_hits.tsv	hok_1_DKDN250001570-1A_22W2JCLT3_L5_kegg_hits.tsv	hok_2_DKDN250001571-1A_22KVLLLT4_L8_kegg_hits.tsv	hok_3_DKDN250001572-1A_22VYGNLT3_L3_kegg_hits.tsv	hok_3_DKDN250001572-1A_22W2JCLT3_L1_kegg_hits.tsv	hok_5_DKDN250001573-1A_22KVLLLT4_L8_kegg_hits.tsv	hok_7_DKDN250001574-1A_22KVLLLT4_L8_kegg_hits.tsv	mtz_1_DKDN250001565-1A_22KVLLLT4_L8_kegg_hits.tsv	mtz_3_DKDN250001566-1A_22VYGNLT3_L3_kegg_hits.tsv	mtz_4_DKDN250001567-1A_22KVLLLT4_L8_kegg_hits.tsv	mtz_6_DKDN250001568-1A_22KVLLLT4_L8_kegg_hits.tsv	mtz_7_DKDN250001569-1A_22KVLLLT4_L8_kegg_hits.tsv
K00001	0.297498	0.253069	0.245346	0.274346	0.336064	0.287415	0.487364	0.855187	1.363358	0.556406	0.840411	1.261580	1.275614	1.231786	1.196253	0.569103	0.777044	0.313843	0.271941	0.290660	0.341032	0.280914	0.551837	0.616469	0.651774	0.242378	0.249572	0.432543	0.565295	0.249738	0.464791	0.320431	0.406132	0.348920
K00002	0.000779	0.000000	0.001194	0.000442	0.003352	0.001260	0.001793	0.005624	0.003456	0.003253	0.003554	0.001819	0.000594	0.001386	0.004726	0.002920	0.003695	0.000315	0.000166	0.000483	0.003718	0.001055	0.003907	0.001151	0.000710	0.000000	0.000000	0.000312	0.000149	0.014887	0.000728	0.010342	0.004729	0.004151
K00003	0.978534	0.980871	0.996086	0.991341	0.980728	1.012483	0.916399	0.963359	0.938292	0.968956	0.979173	0.913995	0.952267	0.935579	0.950002	0.926341	0.941891	0.942305	0.913973	0.923321	0.930600	0.922613	0.964805	0.983263	1.052281	0.998331	1.007246	0.982401	0.966967	0.920404	0.985070	0.946346	0.947189	1.221783
K00004	0.005611	0.004266	0.003500	0.007361	0.005050	0.003529	0.015616	0.007285	0.019541	0.007308	0.015221	0.007128	0.004321	0.001320	0.001649	0.009414	0.008448	0.005448	0.004516	0.006893	0.020233	0.010071	0.013994	0.015521	0.006024	0.001031	0.001877	0.008149	0.004651	0.060070	0.003557	0.055882	0.025704	0.014044
K00005	0.001562	0.001149	0.000807	0.001333	0.001786	0.000364	0.002574	0.000000	0.005550	0.001053	0.004490	0.001521	0.002343	0.001186	0.001223	0.003147	0.006299	0.001369	0.000591	0.002397	0.001329	0.002089	0.002472	0.003203	0.002931	0.001078	0.001945	0.000929	0.002091	0.019571	0.001557	0.007502	0.004803	0.004535
K00007	0.000647	0.000000	0.000000	0.001540	0.000869	0.000075	0.002223	0.002334	0.001458	0.002881	0.003578	0.003325	0.006024	0.001315	0.002048	0.001599	0.005056	0.000362	0.000728	0.000892	0.002941	0.001401	0.001560	0.001343	0.001313	0.000657	0.000346	0.001014	0.002141	0.014205	0.000974	0.030143	0.005353	0.002763
K00008	0.504072	0.098686	0.082672	0.289061	0.026956	0.353893	0.932195	1.080810	1.010437	1.092419	0.990233	0.942194	0.932098	1.027188	1.019520	1.006395	0.967786	0.407067	0.181432	0.307822	0.645161	0.195771	0.018646	0.026456	0.006378	1.591444	1.639847	0.084985	0.007063	0.850292	0.797085	1.286622	1.326241	0.969168
K00010	0.007171	0.007951	0.004311	0.008802	0.010227	0.003180	0.047184	0.017077	0.041804	0.029465	0.037926	0.022379	0.022791	0.003922	0.008011	0.033989	0.032118	0.004810	0.011330	0.017957	0.024395	0.011575	0.038563	0.035981	0.018406	0.005272	0.006854	0.022528	0.016143	0.189220	0.029181	0.193776	0.061569	0.034912
K00012	2.618009	1.877984	1.882326	2.278512	1.743213	1.915103	3.921221	2.901355	2.940005	3.612662	3.384563	3.831875	3.791472	3.832231	3.703088	3.730003	3.491263	3.677822	3.173999	3.273217	3.929811	3.088306	2.708307	2.654794	2.381872	3.898062	3.885612	2.657186	2.812794	3.602726	3.586759	4.219234	4.223893	4.018293
K00013	0.882863	0.908354	0.935226	0.881177	0.886555	0.837019	0.917055	0.857569	0.856951	0.927498	0.910109	0.962813	0.985025	0.966284	0.971681	0.910256	0.882387	0.892711	0.911794	0.867107	0.876581	0.878164	0.962547	0.948390	0.877103	0.895845	0.955075	0.873604	0.905879	0.877027	0.827287	0.920806	0.865267	0.829524
